time,hip_pos,knee_pos,hip_vel,knee_vel,hip_tau,knee_tau
0.002,-0.5000030038140469,0.8003241461492646,-0.0015019070234891885,0.16207307463227927,2.0,7.000000000000007
0.004,-0.49996219901389627,0.8008535362808366,0.020402400075330136,0.26469506578599206,3.259538624354322,4.749001537457401
0.006,-0.4998332567060624,0.801478449414408,0.06447115391695325,0.3124565667857441,4.47103309897678,2.6738756451435237
0.008,-0.49957426724492177,0.8020978072860033,0.12949473057031055,0.3096789357976194,5.635730535623353,0.7638810479353308
0.01,-0.4991456654614577,0.8026186445407146,0.21430089173200945,0.26041862735562443,6.754838953869341,-0.9910684744829483
0.012,-0.4985101502629327,0.8029555930432354,0.31775759926250297,0.16847425126036583,7.8295165493657715,-2.60040851103068
0.014,-0.49763260234427115,0.8030303844368339,0.4387739593307867,0.03739569679927911,8.860865760142174,-4.072936870490698
0.016,-0.4964800028039088,0.8027713739160206,0.5762997701811641,-0.12950526040668156,9.849931053544939,-5.416832946311758
0.018000000000000002,-0.4950213546638881,0.8021130871849723,0.7293240700103734,-0.3291433655241161,10.797699513397111,-6.639681898318795
0.020000000000000004,-0.4932276086415726,0.8009957917517917,0.896873011157746,-0.5586477165902989,11.705103454087194,-7.748502195621352
0.022000000000000006,-0.4910715939925904,0.7993650930476638,1.0780073244910793,-0.8153493520639272,12.573024422342973,-8.74977530742528
0.024000000000000007,-0.48852795482527345,0.7971715553444255,1.271819583658498,-1.0967688516191263,13.40229806681001,-9.649476558355103
0.02600000000000001,-0.4855730919602639,0.7943703470559572,1.477431432504779,-1.4006041442341275,14.19371945978749,-10.453106374062498
0.02800000000000001,-0.48218511016050114,0.7909209097295508,1.693990899881381,-1.7247186632032334,14.94804854495356,-11.165721327281535
0.030000000000000013,-0.478343770373283,0.7867866498450183,1.920669893609059,-2.06712994226623,15.666015460568108,-11.791964552873646
0.032000000000000015,-0.4740304464959022,0.7819346524251508,2.156661938690394,-2.425998709933783,16.348325550748616,-12.336095233416586
0.034000000000000016,-0.46922808608950417,0.7763354154062684,2.401180203199015,-2.799618509441232,16.995663929438365,-12.802016966242972
0.03600000000000002,-0.46392117441392405,0.7699626037089164,2.6534558377900552,-3.186405848675977,17.608699504161226,-13.193304910815886
0.03800000000000002,-0.45809570113247206,0.7627928219749215,2.9127366407260094,-3.584890866997473,18.188088401105787,-13.513231684443422
0.04000000000000002,-0.4517391290344611,0.7548054049884012,3.178286049005471,-3.9937084932601277,18.734476760947107,-13.764792027072879
0.04200000000000002,-0.4448403641404316,0.7459822248668234,3.4493824470147625,-4.411590060788908,19.248502897419442,-13.950726294636713
0.044000000000000025,-0.4373897265872654,0.7363075141871139,3.7253187765831166,-4.837355339854761,19.730798829162843,-14.073542867305942
0.04600000000000003,-0.4293789217352685,0.7257677042956395,4.005402425998446,-5.269904945737188,20.181991210771223,-14.135539576000916
0.04800000000000003,-0.4208010109950284,0.7143512781352456,4.288955370120038,-5.7082130801970035,20.60270170206926,-14.138824259360987
0.05000000000000003,-0.4116503819370467,0.7020486370039972,4.57531452899086,-6.151320565624185,20.993546826048046,-14.085334565648743
0.05200000000000003,-0.4019227173206866,0.6888519807363286,4.863832308180079,-6.5983281338343405,21.355137376012415,-13.976857111170531
0.054000000000000034,-0.39161496275982455,0.6747552008661946,5.153877280431003,-7.048389935067002,21.688077441576993,-13.815046100005116
0.056000000000000036,-0.38072529282967693,0.6597537863925259,5.444834965073803,-7.500707236834304,21.992963131271278,-13.60144150030645
0.05800000000000004,-0.36925307551135395,0.6438447418193973,5.736108659161501,-7.954522286564319,22.270381076621398,-13.337486861227418
0.06000000000000004,-0.3571988349663293,0.6270265171869835,6.027120272512328,-8.409112316206887,22.52090680850314,-13.024546842544126
0.06200000000000004,-0.34456421273048954,0.6092989498451912,6.317311117919875,-8.863783670896181,22.74510310107309,-12.663924517159778
0.06400000000000004,-0.3313519275147851,0.590663217750746,6.606142607852216,-9.31786604722259,22.94351838140762,-12.256878495521754
0.06600000000000004,-0.31756573389455783,0.5711218040916513,6.893096810113641,-9.77070682954738,23.116685303838786,-11.804639911123786
0.06800000000000005,-0.30321038026002023,0.5506784730615399,7.177676817268815,-10.221665515055678,23.26511958662701,-11.308429298033957
0.07000000000000005,-0.28829156648368043,0.5293382566217005,7.459406888169902,-10.670108219919715,23.389319204867785,-10.7694733849372
0.07200000000000005,-0.2728159018343256,0.5071074521014083,7.737832324677418,-11.115402260146148,23.48976402728648,-10.189021825425868
0.07400000000000005,-0.25679086372917753,0.4839936304982091,8.012519052574014,-11.556910801599589,23.56691597581938,-9.56836388089954
0.07600000000000005,-0.24022475796389,0.46000565534901156,8.283052882643757,-11.993987574598767,23.621219775687596,-8.90884506988128
0.07800000000000006,-0.22312668109228573,0.4351537120495797,8.549038435802137,-12.425971649715926,23.653104350210597,-8.211883795014316
0.08000000000000006,-0.20550648564254947,0.4094493475028081,8.81009772486812,-12.852182273385816,23.662984899109233,-7.478987955426753
0.08200000000000006,-0.18737474885270977,0.38290551997257205,9.065868394919846,-13.27191376511801,23.651265681790026,-6.711771546282769
0.08400000000000006,-0.16874274558464453,0.35553665900652803,9.316001634032629,-13.684430483022018,23.618343508370035,-5.911971237721659
0.08600000000000006,-0.1496224260317384,0.3273587352634305,9.56015977645306,-14.088961871548753,23.56461192125749,-5.081462910415006
0.08800000000000006,-0.1300263987700412,0.2983893400326498,9.79801363084859,-14.484697615390374,23.49046602915894,-4.222278102910508
0.09000000000000007,-0.10996791961570093,0.26864777415879804,10.029239577170138,-14.870782936925865,23.396307933566433,-3.3366202949887267
0.09200000000000007,-0.08946088664188184,0.23815514597482923,10.253516486909541,-15.2463140919844,23.28255266511773,-2.426880909622753
0.09400000000000007,-0.0685198415754765,0.2069344776938463,10.470522533202676,-15.610334140491464,23.14963452364563,-1.495654862070559
0.09600000000000007,-0.047159977636616425,0.1750108195036018,10.679931969430035,-15.96182909512224,22.998013691072334,-0.5457554165800076
0.09800000000000007,-0.025397153701001783,0.14241137033840498,10.88141196780732,-16.29972458259841,22.82818296033671,0.41977197209081396
0.10000000000000007,-0.003247914454987372,0.1091656039610947,11.074619623007205,-16.62288318865514,22.640674396038612,1.3976372543726256
0.10200000000000008,0.019270484025179238,0.075305398564032,11.259199240083305,-16.93010269853135,22.43606571329316,2.3842953559855005
0.10400000000000008,0.042140044106557126,0.04086516758575052,11.434780040688944,-17.22011548914074,22.214986130450406,3.375938389507155
0.10600000000000008,0.0653419929792796,0.0058819888353175125,11.600974436361241,-17.491589375216503,21.978121419220248,4.3684913163423715
0.10800000000000008,0.0888567470426828,-0.029604271678977834,11.757377031701596,-17.743130257147673,21.72621784321843,5.357612017004271
0.11000000000000008,0.11266387610751435,-0.06555084559754787,11.903564532415775,-17.973286959285016,21.460084644579663,6.338696876051586
0.11200000000000009,0.13674206959079394,-0.10191196295596874,12.03909674163979,-18.18055867921044,21.18059471052775,7.306893124803906
